bill_billing_period_end_date,bill_billing_period_start_date,identity_time_interval,line_item_operation,line_item_product_code,line_item_unblended_cost,pricing_public_on_demand_cost,pricing_term,product_from_region_code,product_product_family,product_region_code,product_servicecode
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-03T00:00:00Z/2025-09-04T00:00:00Z,RunInstances,AmazonEC2,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-15T00:00:00Z/2025-09-16T00:00:00Z,RunInstances,AmazonEC2,8.8E-8,8.8E-8,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-20T00:00:00Z/2025-09-21T00:00:00Z,RunInstances,AmazonEC2,4.5E-9,4.5E-9,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-15T00:00:00Z/2025-09-16T00:00:00Z,Not Applicable,AmazonRDS,0.0,0.0,OnDemand,,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-13T00:00:00Z/2025-09-14T00:00:00Z,CreateVpnConnection,AmazonVPC,1.2,1.2,OnDemand,,Cloud Connectivity,ap-southeast-1,AmazonVPC
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-14T00:00:00Z/2025-09-15T00:00:00Z,ListAccessPoints,AmazonS3,1.3E-9,1.3E-9,OnDemand,us-east-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-27T00:00:00Z/2025-09-28T00:00:00Z,CreateVpnConnection,AmazonVPC,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-11T00:00:00Z/2025-09-12T00:00:00Z,PublicIP-In,AmazonEC2,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-11T00:00:00Z/2025-09-12T00:00:00Z,PublicIP-In,AmazonEC2,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-17T00:00:00Z/2025-09-18T00:00:00Z,RunInstances,AmazonEC2,3.58E-8,3.58E-8,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-03T00:00:00Z/2025-09-04T00:00:00Z,PublicIP-Out,AmazonEC2,2.526E-7,2.526E-7,OnDemand,us-east-2,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-11T00:00:00Z/2025-09-12T00:00:00Z,RunInstances,AmazonEC2,0.0,0.0,OnDemand,,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00Z/2025-09-02T00:00:00Z,RunInstances,AmazonEC2,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-05T00:00:00Z/2025-09-06T00:00:00Z,AssociateAddressVPC,AmazonVPC,0.12,0.12,OnDemand,,,ap-southeast-1,AmazonVPC
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-20T00:00:00Z/2025-09-21T00:00:00Z,PublicIP-Out,AmazonEC2,2.517E-7,2.517E-7,OnDemand,us-east-2,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-19T00:00:00Z/2025-09-20T00:00:00Z,PublicIP-In,AmazonEC2,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-22T00:00:00Z/2025-09-23T00:00:00Z,CreateVpnConnection,AmazonVPC,1.427E-7,1.428E-7,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-07T00:00:00Z/2025-09-08T00:00:00Z,RunInstances,AmazonEC2,0.0,0.0,OnDemand,,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-19T00:00:00Z/2025-09-20T00:00:00Z,PublicIP-Out,AmazonEC2,1.6011E-6,1.6012E-6,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-11T00:00:00Z/2025-09-12T00:00:00Z,CopyObject,AmazonS3,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00Z/2025-09-02T00:00:00Z,StandardStorage,AmazonS3,5.171E-7,5.171E-7,OnDemand,,Storage,ap-southeast-1,AmazonS3
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-28T00:00:00Z/2025-09-29T00:00:00Z,Request,AWSGlue,0.0,3.0E-6,,,AWS Glue,ap-southeast-1,AWSGlue
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-24T00:00:00Z/2025-09-25T00:00:00Z,PublicIP-Out,AmazonEC2,7.73E-8,7.73E-8,OnDemand,us-east-2,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-03T00:00:00Z/2025-09-04T00:00:00Z,RunInstances,AmazonEC2,7.48E-7,7.48E-7,OnDemand,us-east-2,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-21T00:00:00Z/2025-09-22T00:00:00Z,PublicIP-In,AmazonEC2,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-22T00:00:00Z/2025-09-23T00:00:00Z,PublicIP-In,AmazonEC2,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-19T00:00:00Z/2025-09-20T00:00:00Z,NatGateway,AmazonEC2,1.416,1.416,OnDemand,,NAT Gateway,ap-southeast-1,AmazonEC2
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-23T00:00:00Z/2025-09-24T00:00:00Z,CreateVpnConnection,AmazonVPC,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-12T00:00:00Z/2025-09-13T00:00:00Z,PublicIP-Out,AmazonEC2,1.453E-7,1.453E-7,OnDemand,us-east-2,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-11T00:00:00Z/2025-09-12T00:00:00Z,PublicIP-In,AmazonEC2,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-17T00:00:00Z/2025-09-18T00:00:00Z,RunInstances,AmazonEC2,9.735E-7,9.735E-7,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-06T00:00:00Z/2025-09-07T00:00:00Z,RunInstances,AmazonEC2,0.0,8.539E-7,,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-25T00:00:00Z/2025-09-26T00:00:00Z,PublicIP-In,AmazonEC2,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-29T00:00:00Z/2025-09-30T00:00:00Z,CreateSnapshot,AmazonEC2,0.0185945638,0.0185945638,OnDemand,,Storage Snapshot,us-east-2,AmazonEC2
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-08T00:00:00Z/2025-09-09T00:00:00Z,HourlyStorageMetering,AmazonCloudWatch,1.5E-9,1.5E-9,OnDemand,,Storage Snapshot,eu-west-1,AmazonCloudWatch
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-19T00:00:00Z/2025-09-20T00:00:00Z,PublicIP-In,AmazonEC2,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-15T00:00:00Z/2025-09-16T00:00:00Z,PublicIP-Out,AmazonEC2,1.5676E-6,1.5677E-6,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-04T00:00:00Z/2025-09-05T00:00:00Z,PublicIP-Out,AmazonEC2,7.61126E-4,7.611259E-4,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-15T00:00:00Z/2025-09-16T00:00:00Z,RunInstances,AmazonEC2,7.86E-8,7.87E-8,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-18T00:00:00Z/2025-09-19T00:00:00Z,RunInstances,AmazonEC2,6.7E-8,6.71E-8,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-24T00:00:00Z/2025-09-25T00:00:00Z,RunInstances,AmazonEC2,1.3463E-6,1.3457E-6,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-22T00:00:00Z/2025-09-23T00:00:00Z,NatGateway,AmazonEC2,1.98E-7,1.978E-7,OnDemand,,NAT Gateway,ap-southeast-1,AmazonEC2
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-28T00:00:00Z/2025-09-29T00:00:00Z,CreateVpnConnection,AmazonVPC,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-03T00:00:00Z/2025-09-04T00:00:00Z,ReadLocation,AmazonS3,0.0,2.698E-7,,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-16T00:00:00Z/2025-09-17T00:00:00Z,CreateVpnConnection,AmazonVPC,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-06T00:00:00Z/2025-09-07T00:00:00Z,RunInstances,AmazonEC2,6.83986E-5,6.83987E-5,OnDemand,us-east-2,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-10T00:00:00Z/2025-09-11T00:00:00Z,NatGateway,AmazonEC2,1.416,1.416,OnDemand,,NAT Gateway,ap-southeast-1,AmazonEC2
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-12T00:00:00Z/2025-09-13T00:00:00Z,PublicIP-Out,AmazonEC2,5.2E-9,5.1E-9,OnDemand,us-east-2,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-25T00:00:00Z/2025-09-26T00:00:00Z,PublicIP-In,AmazonEC2,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-13T00:00:00Z/2025-09-14T00:00:00Z,RunInstances,AmazonEC2,1.118E-7,1.118E-7,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-14T00:00:00Z/2025-09-15T00:00:00Z,Not Applicable,AmazonRDS,7.14E-7,7.134E-7,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-16T00:00:00Z/2025-09-17T00:00:00Z,CreateVpnConnection,AmazonVPC,4.72E-8,4.72E-8,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-03T00:00:00Z/2025-09-04T00:00:00Z,DashboardHour,AmazonCloudWatch,0.3000000024,0.3000000024,OnDemand,,Dashboard,,AmazonCloudWatch
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-12T00:00:00Z/2025-09-13T00:00:00Z,PublicIP-In,AmazonEC2,0.0,0.0,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-07T00:00:00Z/2025-09-08T00:00:00Z,PublicIP-Out,AmazonEC2,5.7316E-6,5.7318E-6,OnDemand,ap-southeast-1,Data Transfer,,AWSDataTransfer
2025-10-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-27T00:00:00Z/2025-09-28T00:00:00Z,PublicIP-Out,AmazonEC2,1.87E-8,1.87E-8,OnDemand,us-east-2,Data Transfer,,AWSDataTransfer
